flatSquares,lookup_values,frequency
0000000000000000,22.006706292292200,65
0000000000001000,23.347935957593100,4
0000000000010010,25.396132112819800,1
0000000001000000,23.560267543831000,1
0000000010000100,25.396132112819800,1
0000000011111111,29.491720772813800,2
0000001000000000,23.560267543831000,1
0000001001010010,26.838113244858900,1
0000100000000000,24.325701071360200,2
0001000000000000,23.347935957593100,4
0010000100000000,25.396132112819800,1
0011001100110011,29.491720772813800,2
0100000000000000,24.325701071360200,3
0100100000010010,26.415903926263800,1
0100101001010010,25.867972156487700,3
0111100010001000,29.563358646902500,1
0111101111011110,23.238580766930600,2
1000100000000000,24.604621404848200,1
1000100010001000,26.978614752900600,1
1111000000000000,26.978614752900600,1
1111111111111111,22.006706292292200,2
bdm,550.331132080804,0
