# from,to,bdm_value,information_loss,difference
V1,V30,594.2754622791359,48.61017947999403,22.347286773952078
V24,V30,616.622749053088,26.262892706041953,0.65014888411622
V27,V30,617.2728979372042,25.612743821925733,0.7514369698224073
V20,V27,618.0243349070266,24.861306852103326,17.87974297960841
V24,V25,635.904077886635,6.981563872494917,1.662072375972457
V1,V19,637.5661502626075,5.31949149652246,1.4366294042844174
V23,V27,639.0027796668919,3.8828620922380424,0.3215915070842357
V1,V2,639.3243711739761,3.5612705851538067,0.5087943070591336
V26,V30,639.8331654810353,3.052476278094673,0.047076290352038086
V1,V4,639.8802417713873,3.005399987742635,0.4920290932325315
V20,V30,640.3722708646198,2.5133708945101034,0.3201064604347721
V1,V17,640.6923773250546,2.1932644340753313,0.043186794194980394
V21,V30,640.7355641192496,2.150077639880351,0.6747568875546222
V1,V3,641.4103210068042,1.4753207523257288,0.03333962028671067
V30,V31,641.4436606270909,1.4419811320390181,0.13032363930278734
V31,V32,641.5739842663937,1.3116574927362308,0.16953885554562476
V1,V18,641.7435231219393,1.142118637190606,0.40785992755627376
V22,V26,642.1513830494956,0.7342587096343323,0.01730894480351708
V22,V29,642.1686919942991,0.7169497648308152,0.15910909785486638
V20,V29,642.327801092154,0.5578406669759488,0.0
V20,V28,642.327801092154,0.5578406669759488,0.5184298482809027
V22,V28,642.8462309404349,0.039410818695046146,0.8093503456674398
V26,V28,643.6555812861023,-0.7699395269723937,0.0
V25,V27,643.6555812861023,-0.7699395269723937,0.060135471585226696
V1,V16,643.7157167576876,-0.8300749985576203,0.0
V1,V8,643.7157167576876,-0.8300749985576203,0.0
V1,V12,643.7157167576876,-0.8300749985576203,0.3299467175696691
V24,V28,644.0456634752572,-1.1600217161272894,0.023733675360176676
V25,V28,644.0693971506174,-1.1837553914874661,0.15747427381347734
V33,V37,644.2268714244309,-1.3412296653009435,0.0
V36,V40,644.2268714244309,-1.3412296653009435,0.21233158623783766
V35,V39,644.4392030106687,-1.553561251538781,0.0
V34,V38,644.4392030106687,-1.553561251538781,1.6620738556645165
V21,V25,646.1012768663333,-3.2156351072032976,20.473530515690754
V33,V40,666.574807382024,-23.689165622894052,0.0
V36,V37,666.574807382024,-23.689165622894052,0.4246631724756753
V35,V38,666.9994705544997,-24.113828795369727,0.0
V34,V39,666.9994705544997,-24.113828795369727,1.3369813499823522
V35,V36,668.336451904482,-25.45081014535208,0.0
V37,V38,668.336451904482,-25.45081014535208,0.0
V33,V34,668.336451904482,-25.45081014535208,0.0
V39,V40,668.336451904482,-25.45081014535208,0.1938857050762408
V34,V40,668.5303376095583,-25.64469585042832,0.0
V34,V37,668.5303376095583,-25.64469585042832,0.0
V36,V39,668.5303376095583,-25.64469585042832,0.0
V33,V39,668.5303376095583,-25.64469585042832,0.0
V33,V38,668.5303376095583,-25.64469585042832,0.0
V36,V38,668.5303376095583,-25.64469585042832,0.0
V35,V37,668.5303376095583,-25.64469585042832,0.0
V35,V40,668.5303376095583,-25.64469585042832,1.1408366442110491
V34,V35,669.6711742537693,-26.78553249463937,0.0
V38,V39,669.6711742537693,-26.78553249463937,2.049806716873036
V37,V40,671.7209809706424,-28.835339211512405,0.0
V33,V36,671.7209809706424,-28.835339211512405,2.3156074055179943
V34,V36,674.0365883761604,-31.1509466170304,0.0
V38,V40,674.0365883761604,-31.1509466170304,0.0
V33,V35,674.0365883761604,-31.1509466170304,0.0
V37,V39,674.0365883761604,-31.1509466170304,21.92962296759265
V1,V7,695.966211343753,-53.08056958462305,0.0
V1,V15,695.966211343753,-53.08056958462305,0.0
V1,V6,695.966211343753,-53.08056958462305,0.0
V1,V14,695.966211343753,-53.08056958462305,0.0
V1,V11,695.966211343753,-53.08056958462305,0.0
V1,V10,695.966211343753,-53.08056958462305,0.2782397201533513
V1,V9,696.2444510639064,-53.3588093047764,0.0
V1,V5,696.2444510639064,-53.3588093047764,0.0
V1,V13,696.2444510639064,-53.3588093047764,2.9015034594541476
V32,V37,699.1459545233605,-56.26031276423055,0.0
V32,V36,699.1459545233605,-56.26031276423055,0.0
V32,V33,699.1459545233605,-56.26031276423055,0.0
V32,V40,699.1459545233605,-56.26031276423055,0.5039102383816498
V31,V35,699.6498647617422,-56.7642230026122,0.0
V31,V34,699.6498647617422,-56.7642230026122,0.0
V31,V39,699.6498647617422,-56.7642230026122,0.0
V31,V38,699.6498647617422,-56.7642230026122,0.7485339963950537
V31,V40,700.3983987581372,-57.51275699900725,0.0
V31,V37,700.3983987581372,-57.51275699900725,0.0
V31,V33,700.3983987581372,-57.51275699900725,0.0
V31,V36,700.3983987581372,-57.51275699900725,1.3604950402104805
V32,V39,701.7588937983477,-58.87325203921773,0.0
V32,V38,701.7588937983477,-58.87325203921773,0.0
V32,V35,701.7588937983477,-58.87325203921773,0.0
V32,V34,701.7588937983477,-58.87325203921773,0.0
